t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
1 0.531845068178667 0.00123627697548227 -0.00679122924597973 0.496329758018552 -0.0392920544055247 -0.0543308121308262 0.567360378338782 0.0417646083564892 0.0407483536388667 0.5 1.78813934326e-07 0
2 0.531902340820273 0.00629874447122609 -0.00683878635049546 0.49657894583424 -0.0328416447164365 -0.0539475264749757 0.567225735806305 0.0454391336588886 0.0402699537739847 0.499975078276 0.00499210408028 0
3 0.532216719855546 0.0121354055962688 -0.00718844140325334 0.497191570519944 -0.0288250746424652 -0.0532827199169676 0.567241869191147 0.0530958858350028 0.0389058371104609 0.499900077415 0.00999562906265 0
4 0.532221186062364 0.0158687451288221 -0.00677763579684424 0.497496449653978 -0.0233246732852844 -0.0521731824679826 0.566945922470749 0.0550621635429286 0.0386179108742941 0.499775414036 0.0149845095202 0
5 0.532313030853727 0.0204664711273185 -0.00681023100477151 0.497849715620495 -0.019076794880228 -0.0518360503168613 0.56677634608696 0.060009737134865 0.0382155883073183 0.499600430605 0.0199852380307 0
6 0.532242892930636 0.0252438009708961 -0.00678357669306182 0.49809684431539 -0.0139330697767826 -0.0513869038363366 0.566388941545882 0.0644206717185747 0.037819750450213 0.499375619848 0.0249797978731 0
7 0.532193240490091 0.0299997652940333 -0.00636251011876242 0.49826926578077 -0.0100914126110752 -0.0507654199130549 0.566117215199412 0.0700909431991419 0.03804039967553 0.499101529338 0.0299610315737 0
8 0.531886221562667 0.0368119013944306 -0.00813467568695182 0.498069774832319 -0.00267955151356009 -0.0515800096894105 0.565702668293014 0.0763033543024213 0.0353106583155069 0.498776161061 0.0349619958953 0
9 0.531888027847515 0.0438705630237936 -0.00737131219699546 0.498258940615632 0.00432723449414416 -0.0503932254480228 0.565517115079398 0.0834138915534431 0.0356506010540319 0.49840134678 0.0399511893134 0
10 0.531490799592879 0.0485338307895218 -0.00749091796706086 0.498183629776244 0.00841613766852654 -0.0504986434497941 0.564797969409514 0.0886515239105171 0.0355168075156724 0.497976884619 0.0449335329671 0
11 0.530925346902515 0.0550209942007261 -0.00720892717040282 0.498107668063111 0.0136617091327159 -0.0499694313361266 0.56374302574192 0.0963802792687362 0.035551576995321 0.497503586708 0.0499017155241 0
12 0.530725807391212 0.0595653979915858 -0.00701807222758 0.49796782821912 0.0188503622757896 -0.0497107823851202 0.563483786563305 0.100280433707382 0.0356746379299602 0.496980200556 0.0548696660781 0
13 0.530178580266091 0.0640037324258315 -0.00685262200716152 0.497789355373001 0.0223794118325685 -0.0493745950096481 0.56256780515918 0.105628053019095 0.0356693509953251 0.496406950125 0.0598342700074 0
14 0.52967673789897 0.0718196027952406 -0.00864984450364867 0.497329122646478 0.0316941222057368 -0.0506032535651998 0.562024353151462 0.111945083384744 0.0333035645579024 0.495783380758 0.0647984518663 0
15 0.529257038463394 0.0748126079580636 -0.00859298681193412 0.497001693254706 0.0351046468668792 -0.0505179779319667 0.561512383672081 0.114520569049248 0.0333320043080985 0.495110336021 0.0697549651665 0
16 0.528748909618061 0.0799262707823697 -0.00900914061959019 0.496845443692629 0.040069256702638 -0.0510119446958874 0.560652375543493 0.119783284862101 0.0329936634567071 0.494386698627 0.0747113928454 0
17 0.528007091712364 0.084629792070303 -0.00872972621309321 0.496268364137621 0.0448094608911265 -0.0508463671994824 0.559745819287106 0.12445012324948 0.0333869147732959 0.493615799781 0.0796457293655 0
18 0.527622605667485 0.0880608647779394 -0.00873763770888594 0.496105002937764 0.0466167585637329 -0.0510854213764033 0.559140208397205 0.129504970992146 0.0336101459586314 0.492794242432 0.0845803442056 0
19 0.526787025192091 0.0930589877248546 -0.00851908601968122 0.49538783715968 0.0530012865752793 -0.0509503974575285 0.558186213224502 0.13311668887443 0.033912225418166 0.49192449728 0.0895002177412 0
20 0.525472329678697 0.100998874475279 -0.00818970956658437 0.494717266712698 0.0563852926832284 -0.0509039230334005 0.556227392644696 0.145612456267329 0.0345245039002317 0.491003834375 0.0944205201699 0
21 0.524719561804879 0.105222861885852 -0.00838456340823485 0.493773276199861 0.0623055145481425 -0.0517608839243151 0.555665847409897 0.14814020922356 0.0349917571078454 0.490037523037 0.0993137755596 0
22 0.52405457531 0.109455140844115 -0.00858719251032636 0.493414804108903 0.0668168226200884 -0.0524365463535656 0.554694346511097 0.152093459068142 0.0352621613329129 0.489019727237 0.104209914946 0
23 0.523034453328576 0.114032052678176 -0.00808085791908879 0.492194450056924 0.0712960892060489 -0.0526115441796768 0.553874456600227 0.156768016150303 0.0364498283414992 0.48795021736 0.109108136168 0
24 0.522160132014273 0.11874225781403 -0.00793698428748879 0.491605873209702 0.0763224728762621 -0.0526325658766163 0.552714390818844 0.161162042751799 0.0367585973016387 0.486835382991 0.113979427391 0
25 0.520885200144454 0.125079987003139 -0.0092457209326397 0.490344760692157 0.0843363568527247 -0.0552876300535332 0.551425639596752 0.165823617153554 0.0367961881882538 0.485666648449 0.118860870704 0
