t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
1 0.0178667292437903 0.270328797479364 0.00874913214262818 -0.0102850311298172 0.249058905756903 -0.0725336341958477 0.0460184896173978 0.291598689201825 0.0900318984811041 -8.94069671631e-08 0.25 0
2 0.014560349684222 0.266771097135758 0.00525106521832091 -0.0138751317501335 0.240366699699364 -0.0716230557777643 0.0429958311185774 0.293175494572151 0.0821251862144061 -0.00249605204014 0.249987539138 0
3 0.011889351170423 0.267119973848273 0.0038708841321703 -0.0160848207223156 0.240268938634751 -0.075051059411322 0.0398635230631616 0.293971009061794 0.0827928276756626 -0.00499781453133 0.249950038708 0
4 0.00990013006945197 0.26831282543103 0.00457195883267515 -0.0184545653193754 0.241168582261829 -0.0745908176094518 0.0382548254582793 0.295457068600232 0.0837347352748021 -0.00749225476011 0.249887707018 0
5 0.00761113691514997 0.270376916388939 0.00422143601647152 -0.0200935025931512 0.247821702352802 -0.0767394592484868 0.0353157764234512 0.292932130425077 0.0851823312814298 -0.00999261901534 0.249800215303 0
6 0.00523231862957279 0.269682275660152 0.00411089065882636 -0.0231132040527215 0.245815337814408 -0.0781283927711442 0.0335778413118671 0.293549213505895 0.0863501740887969 -0.0124898989366 0.249687809924 0
7 0.00276210635152515 0.268516889019333 0.00294770227541394 -0.0254283191221025 0.245153836832132 -0.0782728533229649 0.0309525318251528 0.291879941206535 0.0841682578737927 -0.0149805157869 0.249550764669 0
8 -0.00171122705775727 0.268906490574758 -0.00021284605684085 -0.0309157414769445 0.246596740682798 -0.0892900324596019 0.02749328736143 0.291216240466718 0.0888643403459202 -0.0174809979477 0.249388080531 0
9 -0.00585543460404961 0.272201930301212 -0.000132602742275092 -0.0332878829810162 0.250795757577982 -0.0891858190078272 0.0215770137729169 0.293608103024443 0.088920613523277 -0.0199755946567 0.24920067339 0
10 -0.0086215779992173 0.269065431110394 -0.000865468625905458 -0.0364685144872939 0.248394455427911 -0.0897033095858064 0.0192253584888593 0.289736406792877 0.0879723723339955 -0.0224667664836 0.24898844231 0
11 -0.0130456666244104 0.268586335518485 -0.00270340079459394 -0.0428532077038732 0.24836005747788 -0.0909198766531476 0.0167618744550524 0.28881261355909 0.0855130750639597 -0.024950857762 0.248751793354 0
12 -0.0149677739871585 0.270048360331333 -0.00127721002804091 -0.0445717221693472 0.250283478561573 -0.0898199115329883 0.0146361741950301 0.289813242101094 0.0872654914769065 -0.027434833039 0.248490100278 0
13 -0.017485762198264 0.269370500393182 -0.00226434339836788 -0.0477729280727628 0.249978085052105 -0.0907841905280258 0.0128014036762348 0.288762915734259 0.0862555037312901 -0.0299171350037 0.248203475063 0
14 -0.0220413764571263 0.269418463754364 -0.00429014054160121 -0.0507476204397769 0.250751210403429 -0.0983686418692937 0.00666486752552431 0.288085717105298 0.0897883607860913 -0.0323992259332 0.247891690379 0
15 -0.0236818263384435 0.267915025317424 -0.00530108935548363 -0.0528069355254542 0.249996148812879 -0.0994530439639203 0.00544328284856714 0.28583390182197 0.088850865252953 -0.0348774825833 0.24755516801 0
16 -0.0264171083280379 0.267187416400636 -0.00559153453543515 -0.0552413537881042 0.248658875592714 -0.0992411140435967 0.00240713713202831 0.285715957208558 0.0880580449727264 -0.0373556964227 0.247193349313 0
17 -0.0290442422158368 0.26777086566703 -0.00604712650040606 -0.0587415776808917 0.249210306902689 -0.100553357101319 0.000653093249217997 0.286331424431372 0.0884591041005067 -0.0398228646827 0.246807899891 0
18 -0.0305880156235653 0.267875273779939 -0.00619057541715545 -0.0602115560382229 0.248700613491688 -0.100863112340663 -0.000964475208907765 0.287049934068191 0.0884819615063526 -0.0422901721028 0.246397121216 0
19 -0.0334446198459006 0.267413418278848 -0.0062236816927403 -0.0635761045001876 0.24802041098594 -0.100609658944793 -0.00331313519161367 0.286806425571756 0.0881622955593124 -0.0447501088706 0.24596224864 0
20 -0.0381125411927076 0.267319790007333 -0.00937263061589182 -0.0692132459588223 0.246617804728067 -0.103473809698664 -0.00701183642659284 0.2880217752866 0.0847285484668799 -0.047210260085 0.245501917187 0
21 -0.04053206315862 0.266850894538606 -0.0105496943982221 -0.0715126353002953 0.245976662783896 -0.103559231741115 -0.0095514910169447 0.287725126293316 0.0824598429446705 -0.0496568877798 0.245018761518 0
22 -0.0429206932257594 0.266583762366151 -0.0107479930562445 -0.0729994753923705 0.245282267025155 -0.103634030780259 -0.0128419110591482 0.287885257707148 0.0821380446677697 -0.0521049574732 0.244509863618 0
23 -0.0456783595381897 0.265244403398788 -0.00699744506974364 -0.076010518197562 0.243283710538866 -0.0999867546174537 -0.0153462008788174 0.28720509625871 0.0859918644779665 -0.0545540680841 0.24397510868 0
24 -0.0483085661974182 0.264352049368818 -0.00819118344096394 -0.0782583799862686 0.242403954798064 -0.100693132572126 -0.0183587524085678 0.286300143939573 0.0843107656901979 -0.0569897136954 0.243417691495 0
25 -0.0517139717818779 0.264054071395394 -0.00719414127700879 -0.0814636067961002 0.241970698986047 -0.0984271723941547 -0.0219643367676555 0.286137443804741 0.0840388898401371 -0.0594304353522 0.242833324224 0
26 -0.0559573688365739 0.263060574939212 -0.00694216015293762 -0.08826698759772 0.240056888673707 -0.0980282675889836 -0.0236477500754279 0.286064261204717 0.0841439472831084 -0.0618467161796 0.242229196625 0
27 -0.0581384201018035 0.262180814876273 -0.00661146281161338 -0.0895817004898897 0.239122154368304 -0.097260726713543 -0.0266951397137172 0.285239475384241 0.0840378010903163 -0.0642635114917 0.241599257223 0
28 -0.0606164641102823 0.260273505915091 -0.00619298962565333 -0.0926696202281889 0.236389029153754 -0.0937497663209099 -0.0285633079923757 0.284157982676428 0.0813637870696033 -0.0666782302239 0.240944005143 0
29 -0.062800452482207 0.259234063827 -0.00659299363495879 -0.0935442074593614 0.235780432090542 -0.0932187394936739 -0.0320566975050526 0.282687695563458 0.0800327522237564 -0.0690847235707 0.24026506398 0
30 -0.0662610189291161 0.257407684367909 -0.00904663674257121 -0.0973311390040277 0.232091246525714 -0.0948452982259473 -0.0351908988542044 0.282724122210104 0.0767520247408049 -0.0714839062325 0.239562207265 0
31 -0.0695524475500909 0.255751372305364 -0.00714950092630212 -0.0994919901417067 0.230457572645262 -0.0931132694496981 -0.0396129049584752 0.281045171965465 0.0788142675970939 -0.0738759688779 0.238835385197 0
32 -0.0710356778682212 0.254781598992242 -0.00747287513887849 -0.101477324537892 0.229272929848656 -0.0918577508529271 -0.0405940311985499 0.280290268135829 0.0769120005751701 -0.0762599908656 0.238084887788 0
33 -0.0739589079699424 0.254270353500848 -0.00583189267452698 -0.104353084800605 0.228766462454349 -0.0894119436985522 -0.0435647311392796 0.279774244547348 0.0777481583494983 -0.0786364756189 0.23731056593 0
34 -0.0768075310174939 0.253726553614606 -0.0077158148936394 -0.107740594708691 0.227685658047646 -0.0898065082353943 -0.0458744673262968 0.279767449181566 0.0743748784481155 -0.0810071301797 0.236511828161 0
35 -0.0808798699056152 0.252202012544 -0.00796330848753182 -0.11102523034848 0.226027309337436 -0.0857493230904277 -0.0507345094627504 0.278376715750564 0.0698227061153641 -0.0833652344372 0.235690979223 0
36 -0.0830517036040333 0.250867401495606 -0.00772858777320758 -0.113525743429928 0.223901468129167 -0.084830107294196 -0.0525776637781391 0.277833334862046 0.0693729317477809 -0.0857176545234 0.234845659323 0
37 -0.0869918774082849 0.249341594509091 -0.00827127620216364 -0.118188499758258 0.222513730415182 -0.0845241656078734 -0.0557952550583116 0.276169458603 0.0679816132035461 -0.0880623417413 0.233976545763 0
38 -0.0892853306585515 0.248095856197182 -0.00744231528603333 -0.119207476428608 0.221604679245117 -0.0824204427813209 -0.0593631848884952 0.274587033149247 0.0675358122092543 -0.0903938284462 0.233085726244 0
