t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
1 0.540852822809464 0.0286792015073996 -0.00159242270561771 0.527585199759874 0.00129600438387014 -0.010205805612562 0.554120445859055 0.056062398630929 0.00702096020132659 0.5 1.19209289551e-07 0
2 0.540518141674893 0.0333015190105361 -0.00153532281450546 0.527262133682861 0.00450129378315779 -0.0101923247868213 0.553774149666925 0.0621017442379144 0.00712167915781037 0.49997512824 0.00498709753943 0
3 0.540157962752072 0.0380202573589557 -0.00146477473020489 0.526809988630352 0.0111095821109651 -0.00995694309749436 0.553505936873791 0.0649309326069464 0.00702739363708457 0.499900417914 0.00997858553519 0
4 0.539493540196571 0.0422741605859436 -0.00158595125295078 0.526213275210916 0.0152444471719006 -0.00988438290389759 0.552773805182227 0.0693038739999867 0.00671248039799603 0.499775524772 0.0149808156917 0
5 0.538969397205107 0.0479701519108911 -0.00152406515218507 0.525467598867712 0.0206860404846431 -0.00963139922493215 0.552471195542503 0.0752542633371392 0.00658326892056202 0.499600432988 0.0199851784737 0
6 0.538205617357214 0.0522149360701061 -0.001690502857326 0.524994258932768 0.0246252187807809 -0.0095253657372122 0.551416975781661 0.0798046533594313 0.0061443600225602 0.499375533488 0.0249815242492 0
7 0.537781228548786 0.0561166238200743 -0.00171987567294114 0.52454527511917 0.0301742817384549 -0.00947119384529271 0.551017181978401 0.0820589659016937 0.00603144249941042 0.499100146584 0.0299840570893 0
8 0.53605873896225 0.0646192928569393 -0.00122828344059721 0.523008577461358 0.0326510981809599 -0.00874814256739555 0.549108900463142 0.0965874875329187 0.00629157568620112 0.498775810942 0.0349669904287 0
9 0.535247563652071 0.0710137325087071 -0.00131954591998836 0.522249461868668 0.0396967202063635 -0.00876458615924515 0.548245665435475 0.102330744811051 0.00612549431926844 0.498401865857 0.0399447131763 0
10 0.534410377392786 0.0755997565759107 -0.00113614726632164 0.52144521814376 0.0448455472263146 -0.00860424409092644 0.547375536641811 0.106353965925507 0.00633194955828315 0.49797722742 0.0449297337037 0
11 0.533849212300857 0.0796261607566286 -0.00124985499072415 0.520935575831371 0.0489213642535864 -0.00875709503795344 0.546762848770344 0.110330957259671 0.00625738505650515 0.497504371882 0.0498938869874 0
12 0.532347421873143 0.0863842908643679 -0.00130324109838195 0.519713957737595 0.0567717901062739 -0.00881948689360165 0.544980886008691 0.115996791622462 0.00621300469683775 0.496978715573 0.0548831145951 0
13 0.531415564388036 0.0911184414113965 -0.00160519601476452 0.518893102581833 0.0620562983403482 -0.00934005915861539 0.543938026194238 0.120180584482445 0.00612966712908634 0.496406315278 0.0598395366965 0
14 0.530546736358536 0.0948545868650321 -0.00137672429306345 0.517942161877723 0.0648283408998415 -0.00912342243974146 0.543151310839348 0.124880832830223 0.00636997385361456 0.495782755044 0.0648032391241 0
15 0.529638787501429 0.0998864446068607 -0.00145684363114704 0.517263940342048 0.0698057701417014 -0.00934017887892145 0.542013634660809 0.12996711907202 0.00642649161662738 0.495109546022 0.0697605722284 0
16 0.528011277150107 0.10639057746075 -0.000824645008228429 0.515653881916673 0.076591911932063 -0.00881837945189226 0.540368672383541 0.136189242989437 0.0071690894354354 0.494388631127 0.0746986038197 0
17 0.52664682921 0.112121161543525 -0.000790295767563357 0.514640590547072 0.0825599375356735 -0.00884775606060741 0.538653067872927 0.141682385551376 0.00726716452548069 0.493616246016 0.0796429637156 0
18 0.525685367374357 0.115772064731257 -0.000595268865356964 0.513365408838846 0.0856115565506413 -0.00887984138610588 0.538005325909869 0.145932572911873 0.00768930365539195 0.492795583377 0.0845725310233 0
19 0.524437999310643 0.119717480406032 -0.000902495698976428 0.512134851121844 0.0888475657741934 -0.0096414929331012 0.536741147499442 0.150587395037871 0.00783650153514835 0.491925809546 0.0894930047693 0
20 0.523544001572036 0.123572711272079 -0.000907461232086285 0.510606946587493 0.0936108361789186 -0.00994180086042155 0.536481056556579 0.153534586365239 0.00812687839624898 0.491004948665 0.0944147254737 0
21 0.521686367372214 0.1296898046687 -0.00105462811446261 0.509073456697519 0.0968165540379458 -0.00983602240869564 0.534299278046909 0.162563055299454 0.00772676617977043 0.490034918261 0.099326627271 0
22 0.519028906112786 0.138384121696718 -0.00110749374967368 0.505994003172525 0.10309002135385 -0.010093271956632 0.532063809053047 0.173678222039586 0.00787828445728461 0.489017217692 0.104221690646 0
23 0.517690991940821 0.142525000763982 -0.00106261562848111 0.504773777044073 0.107871806708393 -0.00988973796392359 0.530608206837569 0.177178194819571 0.00776450670696138 0.487951531002 0.109102261172 0
24 0.516787691713286 0.145648494725857 -0.00133470660471861 0.504124717669591 0.112836929201967 -0.0104150172396045 0.52945066575698 0.178460060249747 0.00774560403016729 0.486834975365 0.113981168449 0
25 0.51502941126775 0.150932072886714 -0.00127041552257643 0.50171683840519 0.11686838754692 -0.0103405662558062 0.528341984130309 0.184995758226509 0.00779973521065339 0.485666832649 0.118860118056 0
26 0.513295582378643 0.156289109100179 -0.00157270800714518 0.50092935271829 0.12445404560432 -0.0108082352726373 0.525661812038996 0.188124172596037 0.00766281925834692 0.484458393251 0.123693432359 0
