t xx yy zz xxIn yyIn zzIn xxOut yyOut zzOut wptRefX wptRefY wptRefZ
1 1.0303624185261 0.24152406810365 0.023461625119342 1.00418460442081 0.186105111961135 -0.0341778280497476 1.05654023263139 0.296943024246165 0.0811010782884315 1 5.96046447754e-08 0
2 1.0303052279796 0.24269029574625 0.022225489894417 1.00415311952285 0.185908420996074 -0.0381867464090343 1.05645733643635 0.299472170496426 0.0826377261978683 0.999987510478 0.00499788826188 0
3 1.0293132967936 0.24804785327055 0.020508903335937 1.00346830553479 0.186596486851679 -0.0415701309218001 1.05515828805241 0.309499219689421 0.0825879375936741 0.999950174403 0.00998242011033 0
4 1.02754314791455 0.25453367077295 0.02113351278101 1.0010260637078 0.192113655114034 -0.0428622128756358 1.0540602321213 0.316953686431866 0.0851292384376558 0.999887530037 0.0149975756667 0
5 1.02713301834055 0.25878984462595 0.0218042082723675 1.00064320856044 0.198950223821016 -0.0418149898436291 1.05362282812066 0.318629465430884 0.0854234063883641 0.99980011789 0.0199931055 0
6 1.02655391826755 0.2638382918756 0.020574926635388 1.0004489806883 0.203981291938645 -0.0431683261871795 1.0526588558468 0.323695291812555 0.0843181794579555 0.999687880316 0.0249828330889 0
7 1.02586549757055 0.2678102667273 0.019453965029408 0.999745371400346 0.20446856393067 -0.0426121333840052 1.05198562374075 0.33115196952393 0.0815200634428212 0.999550467168 0.0299810537684 0
8 1.0254549921081 0.2690617432324 0.020344704927078 0.998294711099924 0.206846317314952 -0.0422653146128577 1.05261527311628 0.331277169149848 0.0829547244670137 0.999388162151 0.0349757251847 0
9 1.025026012155 0.27605562376645 0.0196998938784645 0.997633834669628 0.223467565054579 -0.0425475641309421 1.05241818964037 0.328643682478321 0.0819473518878711 0.999200946975 0.0399683320088 0
10 1.02235107739645 0.28426775155755 0.019781403014031 0.997756032331886 0.219608239170664 -0.0441029955812372 1.04694612246101 0.348927263944436 0.0836658016092992 0.998988680697 0.0449623824956 0
11 1.02157907211115 0.2868970109116 0.019681939733946 0.996940204493286 0.224067122027425 -0.0458590962189793 1.04621793972901 0.349726899795775 0.0852229756868713 0.998751206939 0.0499602505786 0
12 1.02041901163515 0.29170674486125 0.018797142437631 0.996706279433297 0.232379432803677 -0.0464091198387097 1.044131743837 0.351034056918823 0.0840034047139717 0.998488385399 0.0549631169311 0
13 1.01827127439685 0.2990474948007 0.0174589737631668 0.993261944639476 0.23644039400473 -0.0480121981510618 1.04328060415422 0.36165459559667 0.0829301456773954 0.998201368896 0.0599502054595 0
14 1.01651693181835 0.30626908547225 0.0176469534731728 0.992473864875255 0.241261640998024 -0.0483256174261924 1.04055999876144 0.371276529946476 0.083619524372538 0.997888619352 0.0649484670134 0
15 1.01542286252185 0.31030840339805 0.0166141519244528 0.992119451994401 0.24761790422637 -0.0484548710924271 1.0387262730493 0.37299890256973 0.0816831749413327 0.997551471819 0.0699361213709 0
16 1.01394038900155 0.31506615967095 0.0184012724664328 0.988603840377831 0.254790885503922 -0.0491715613366619 1.03927693762527 0.375341433837978 0.0859741062695275 0.997189198616 0.0749246432321 0
17 1.01357659300555 0.316315331527 0.0178499305671968 0.988455856604325 0.255371680450562 -0.0499011821766204 1.03869732940678 0.377258982603438 0.085601043311014 0.996802236339 0.0799080823762 0
18 1.01198594229865 0.31814764582105 0.0180483785485368 0.987034489807863 0.253586607618298 -0.0497120172088438 1.03693739478944 0.382708684023802 0.0858087743059174 0.996390268354 0.0848907128542 0
19 1.00997087643355 0.32500241589545 0.0161136123441133 0.985640289544266 0.263741522173138 -0.0530058869557845 1.03430146332283 0.386263309617762 0.0852331116440112 0.995953324637 0.0898719931012 0
20 1.0090711717912 0.33016590264725 0.0161271842804083 0.984452457379504 0.275253808612569 -0.0528369996591605 1.0336898862029 0.385077996681931 0.0850913682199771 0.995491568487 0.0948500768076 0
21 1.00880215607645 0.33140800058745 0.0158892532450833 0.983972470770626 0.274935510628134 -0.0528362794092504 1.03363184138227 0.387880490546766 0.084614785899417 0.995004960238 0.0998254932459 0
