t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
1 -0.0302704459835965 0.24201373010955 -0.01572605855763 -0.0578150629633926 0.190579165300949 -0.109464489294499 -0.00272582900380035 0.293448294918151 0.0780123721792386 -1.49011611938e-08 0.25 0
2 -0.030109973131451 0.2378891056716 -0.01653452552853 -0.0577698390091006 0.18459343537685 -0.111654511164184 -0.00245010725380139 0.29118477596635 0.0785854601071245 -0.00124947206547 0.24999687762 0
3 -0.032635432896716 0.2376906076542 -0.015951115079205 -0.0615532216091842 0.184514569911748 -0.110589169399051 -0.00371764418424782 0.290866645396652 0.0786869392406413 -0.00249560502758 0.249987543601 0
4 -0.034218420979881 0.23599342005425 -0.02514161039147 -0.0650326017739818 0.182404051549473 -0.106688305353315 -0.00340424018578014 0.289582788559027 0.0564050845703754 -0.00374939391667 0.249971882509 0
5 -0.0360189392811305 0.2376888718969 -0.025432335305985 -0.0648374604019537 0.18870764449757 -0.106612852920861 -0.00720041816030725 0.28667009929623 0.0557481823088907 -0.004998276375 0.249950029472 0
6 -0.037974031419551 0.23612968241195 -0.02058174116539 -0.0655001523417122 0.188028209655608 -0.097750735281619 -0.0104479104973898 0.284231155168292 0.056587252950839 -0.00624570827224 0.249921970079 0
7 -0.038489497991236 0.2351853753451 -0.0218432152178385 -0.0660527196456139 0.187295499460476 -0.0996211932598255 -0.0109262763368581 0.283075251229724 0.0559347628241485 -0.00749526344211 0.249887616792 0
8 -0.039426900253066 0.235985252097 -0.0185147394891835 -0.0674342010247568 0.18903406843434 -0.101294004891667 -0.0114195994813752 0.28293643575966 0.0642645259132997 -0.00874393129617 0.249847040538 0
9 -0.0396379037990365 0.2419147058087 -0.0200535494368535 -0.0673470999277563 0.191289993285244 -0.104338318079621 -0.0119287076703167 0.292539418332155 0.0642312192059138 -0.0099920830022 0.249800236744 0
10 -0.044865698244429 0.2377223671191 -0.013665889971916 -0.081968566807232 0.179865103967676 -0.0910429056201945 -0.00776282968162597 0.295579630270524 0.0637111256763625 -0.0112405956239 0.249747170174 0
11 -0.046955263125314 0.23998708209435 -0.015198735171021 -0.0840789246680461 0.184179863141941 -0.088822622257005 -0.00983160158258187 0.295794301046759 0.058425151914963 -0.0124900626447 0.249687801735 0
12 -0.047011373592539 0.23448476823875 -0.013799837254951 -0.0841529503860015 0.178245956477965 -0.088984737650873 -0.00986979679907648 0.290723579999535 0.061385063140971 -0.0137407792328 0.24962209635 0
13 -0.049419614018004 0.2355146752519 -0.016108451713841 -0.0870488310170264 0.180074332070048 -0.0912912386492114 -0.0117903970189816 0.290955018433752 0.0590743352215294 -0.0149875513649 0.249550342224 0
14 -0.0534457006831445 0.2295147589276 -0.0116720980731975 -0.0903455093806637 0.176982488019997 -0.084125370636787 -0.0165458919856254 0.282047029835203 0.060781174490392 -0.0162371167534 0.249472154838 0
15 -0.0563687239816245 0.22918993754695 -0.0098975378787275 -0.0930417552637041 0.175447697823288 -0.0816537560885253 -0.0196956926995449 0.282932177270612 0.0618586803310703 -0.0174840303427 0.249387867955 0
16 -0.0558928856229045 0.22883975855395 -0.0151886455482025 -0.0927299687430825 0.174785667695086 -0.0785053372442212 -0.0190558025027265 0.282893849412814 0.0481280461478162 -0.018731160808 0.249297299654 0
17 -0.0571198649321445 0.22606187805585 -0.0163001989713075 -0.0934630002932561 0.171396028231503 -0.0805909560864424 -0.0207767295710329 0.280727727880197 0.0479905581438274 -0.0199770205941 0.249200559085 0
18 -0.0604966911833445 0.22416046380865 -0.0178121450124425 -0.108562890447314 0.171935699703476 -0.0806288434502567 -0.0124304919193746 0.276385227913824 0.0450045534253717 -0.0212226782135 0.249097567089 0
19 -0.0650383079353845 0.22818109100017 -0.0153238196624475 -0.112749894806119 0.171623596215612 -0.0775238967544317 -0.0173267210646501 0.284738585784728 0.0468762574295367 -0.0224679982753 0.248988331159 0
20 -0.0658980675997895 0.22921312025867 -0.0210309285903425 -0.113086542736737 0.172942420799216 -0.0783648415329755 -0.0187095924628415 0.285483819718124 0.0363029843522906 -0.0237125192019 0.248872892122 0
21 -0.06765107496445 0.22746932745647 -0.02286884640344 -0.11315021918675 0.17044757535741 -0.0800540732570861 -0.0221519307421501 0.28449107955553 0.0343163804502061 -0.0249563733115 0.248751240059 0
22 -0.068290345137675 0.22603355760337 -0.01804167483934 -0.114016234723121 0.169024497190903 -0.0779103098344414 -0.0225644555522291 0.283042618015837 0.0418269601557614 -0.0262004187732 0.248623285426 0
23 -0.068864749729235 0.22612033251882 -0.017041668714945 -0.114531257615012 0.169167893578208 -0.0755736006634708 -0.0231982418434585 0.283072771459432 0.0414902632335808 -0.0274402835409 0.248489498449 0
24 -0.073212000169055 0.22829671303997 -0.011584842589186 -0.11708369429729 0.173431957124453 -0.0673086354627189 -0.0293403060408201 0.283161468955487 0.0441389502843469 -0.0286844540553 0.248348952274 0
25 -0.074661236178705 0.22592954796677 -0.009355040930646 -0.118515716441576 0.171794247782252 -0.0653760442473648 -0.030806755915834 0.280064848151288 0.0466659623860728 -0.0299238071229 0.24820267075 0
26 -0.07589855616493 0.22309482536127 -0.008041244850001 -0.119502322340674 0.165648806057906 -0.062614486035203 -0.0322947899891863 0.280540844664634 0.046531996335201 -0.0311650758281 0.248049870084 0
27 -0.080138331517985 0.22298317845097 -0.010679445008256 -0.137377128202575 0.167920588128899 -0.0625724070644788 -0.0228995348333954 0.278045768773041 0.0412135170479668 -0.0324067909721 0.247890701518 0
28 -0.080138331517985 0.22298317845097 -0.010679445008256 -0.137377128202575 0.167920588128899 -0.0625724070644788 -0.0228995348333954 0.278045768773041 0.0412135170479668 -0.0336429685224 0.247725958811 0
29 -0.080821371763335 0.223581918799355 -0.005053524824296 -0.137857697461066 0.169965238754124 -0.0596613999448769 -0.0237850460656041 0.277198598844587 0.0495543502962849 -0.0348839454532 0.247554257385 0
30 -0.081625764627875 0.228384408439455 -0.011228328861726 -0.138160771436757 0.166255019501995 -0.080971322636584 -0.0250907578189925 0.290513797376915 0.0585146649131319 -0.0361214070579 0.247376724758 0
31 -0.081625764627875 0.228384408439455 -0.011228328861726 -0.138160771436757 0.166255019501995 -0.080971322636584 -0.0250907578189925 0.290513797376915 0.0585146649131319 -0.0373576854942 0.247193048718 0
32 -0.082440494746505 0.224271025368305 -0.008237593702495 -0.138916966729684 0.162684736164645 -0.0755318915349882 -0.0259640227633257 0.285857314571965 0.0590567041299982 -0.0385930007696 0.24700319895 0
33 -0.0858963021892 0.226260023195805 -0.00746050686576 -0.14202397763096 0.1644592648651 -0.0764547878470131 -0.0297686267474398 0.28806078152651 0.0615337741154931 -0.0398249683396 0.246807560453 0
34 -0.0858963021892 0.226260023195805 -0.00746050686576 -0.14202397763096 0.1644592648651 -0.0764547878470131 -0.0297686267474398 0.28806078152651 0.0615337741154931 -0.041059325147 0.2466052145 0
35 -0.08850803885988 0.222456178650505 -0.002514163637545 -0.144504494205627 0.158423581303205 -0.0778830511540615 -0.032511583514133 0.286488775997805 0.0728547238789715 -0.0422898636881 0.24639717415 0
36 -0.088546246351265 0.223305197269205 -0.007824001507845 -0.14451038995509 0.159374236649972 -0.0835650837147456 -0.0325821027474404 0.287236157888438 0.0679170806990556 -0.0435214466922 0.246182622615 0
37 -0.09124988658552 0.226447108597205 -0.0057231436018 -0.151280806789287 0.161729041605382 -0.0832285646618258 -0.031218966381753 0.291165175589028 0.0717822774582258 -0.0447534807797 0.245961635135 0
38 -0.09304997183663 0.225871912060105 -0.004609568824537 -0.153083611228913 0.162614541030895 -0.0810367773747294 -0.0330163324443467 0.289129283089315 0.0718176397256554 -0.0459840121717 0.245734553176 0
39 -0.09425436863402 0.220183664442355 -0.003526064136552 -0.153271155517576 0.165510466203374 -0.0714848075766429 -0.0352375817504641 0.274856862681336 0.0644326793035389 -0.0472127184358 0.245501444431 0
40 -0.09425436863402 0.220183664442355 -0.003526064136552 -0.153271155517576 0.165510466203374 -0.0714848075766429 -0.0352375817504641 0.274856862681336 0.0644326793035389 -0.0484398192601 0.245262275758 0
