t xVel yVel zVel xVelIn yVelIn zVelIn xVelOut yVelOut zVelOut wptRefVelX wptRefVelY wptRefVelZ
1 -0.0222536297062611 0.27022150501326 0.00226554404945 -0.0390992009326752 0.114772496488553 -0.0614221853619829 -0.00540805847984703 0.425670513537967 0.0659532734608829 -1.49011611938e-08 0.25 0
2 -0.0280306851839311 0.26470502515284 0.0054251210764 -0.0503575962070131 0.138475923198958 -0.0544341456852055 -0.00570377416084911 0.390934127106722 0.0652843878380055 -0.00124883132354 0.249996880821 0
3 -0.0280306851839311 0.26470502515284 0.0054251210764 -0.0503575962070131 0.138475923198958 -0.0544341456852055 -0.00570377416084911 0.390934127106722 0.0652843878380055 -0.0024980188953 0.249987519492 0
4 -0.0280306851839311 0.26470502515284 0.0054251210764 -0.0503575962070131 0.138475923198958 -0.0544341456852055 -0.00570377416084911 0.390934127106722 0.0652843878380055 -0.00375010909195 0.249971871781 0
5 -0.0353563771267521 0.273242799904 0.00416018087413 -0.0541759259861585 0.156016191509275 -0.0650388895316792 -0.0165368282673457 0.390469408298725 0.0733592512799393 -0.00499847005137 0.249950025599 0
6 -0.0353563771267521 0.273242799904 0.00416018087413 -0.0541759259861585 0.156016191509275 -0.0650388895316792 -0.0165368282673457 0.390469408298725 0.0733592512799393 -0.00624856840179 0.249921898586 0
7 -0.0375440644285 0.2591927000914 0.005137277021964 -0.0530111149428107 0.15614961659122 -0.0638192362517044 -0.0220770139141893 0.36223578359158 0.0740937902956324 -0.00749751250566 0.249887549322 0
8 -0.04032473217785 0.2605022164164 0.004854343458964 -0.0528649154832324 0.157086158965434 -0.0639577143780156 -0.0277845488724676 0.363918273867366 0.0736664012959436 -0.00874628423875 0.24984695818 0
9 -0.04195265597846 0.2600528420723 -0.002667429763871 -0.0533827881952149 0.164023045294382 -0.0653892493113197 -0.0305225237617051 0.356082638850218 0.0600543897835777 -0.00999324436394 0.249800190286 0
10 -0.04315013932112 0.2740945360536 -0.007971420604782 -0.0561985740244374 0.15436640493826 -0.0671694908080388 -0.0301017046178026 0.39382266716894 0.0512266495984748 -0.011243870563 0.249747022755 0
11 -0.05063840678025 0.2925965888972 0.006778288539486 -0.0751322004475943 0.189048252834372 -0.0230415834131061 -0.0261446131129057 0.396144924960029 0.0365981604920781 -0.0124927117383 0.249687669206 0
12 -0.05063840678025 0.2925965888972 0.006778288539486 -0.0751322004475943 0.189048252834372 -0.0230415834131061 -0.0261446131129057 0.396144924960029 0.0365981604920781 -0.0137422075816 0.24962201772 0
13 -0.05244258360983 0.2674099378813 3.81143763569992e-05 -0.076430116286334 0.169509761789118 -0.0231352153005985 -0.028455050933326 0.365310113973482 0.0232114440533125 -0.0149870456366 0.249550372597 0
14 -0.05244258360983 0.2674099378813 3.81143763569992e-05 -0.076430116286334 0.169509761789118 -0.0231352153005985 -0.028455050933326 0.365310113973482 0.0232114440533125 -0.0162376818019 0.249472118061 0
